,,,,,,
,컬럼명(영문),한글명,타입,예시,설명,참조 테이블
,PlayerID(=Index),플레이어 ID,string/int,Player_001,캐릭터 고유 ID,
,PlayerName,캐릭터명,string,String_player_001,표시용 이름,스트링 테이블 참조
,Grade,등급,Enum,0,"캐릭터 등급
0 = 노말
1 = 레어 등등",
,PlayerModelPrefab,플레이어 프리팹,string,Knight_001,"플레이어 모델 경로가 설정되어있으면
프리팹 이름 적으면 자동 적용",
,BaseATK,기본 공격력,float,25,전역 공격력 기본값,
,BaseCDR,기본 쿨타임 감소,float(%),0,기본 CDR (0~1 또는 % 규칙 통일),
,BaseCritRate,기본 크리티컬 확률,float(%),0.01,기본 크리 확률,
,BaseCritDamage,기본 크리티컬 데미지,float,2,기본 크리 배율,
,BaseHP,기본 최대 HP,float,120,기본 체력,
,BaseHPRegen,기본 HP 재생,float,0,초당 회복량,
,BaseArmor,기본 방어력,float(%) / float,0,피해 감소율,
,BaseEvasion,기본 회피율,float(%),0,회피율,
,BaseMoveSpeed,기본 이동속도,float(%),1,이동속도 배율,
,BasePickupRange,기본 습득범위,float(%),1,XP/아이템 흡입 범위,
,BaseExpGain,기본 경험치 획득,float(%),1,XP 획득 배율,
,BaseGoldGain,기본 골드 획득,float(%),1,골드 획득 배율,
,BaseLuck,기본 행운,float(%),0,드랍/선택지 보정,
,BaseLifesteal,기본 흡혈,float(%),0,전역 특수효과(캐릭터 기본 보유 시),
,BaseThorns,기본 반사,float,0,전역 특수효과(고정 반사 피해),
,StartActiveSkillID,시작 공격 스킬 ID,string,SK_A_001,캐릭터가 기본으로 들고 시작하는 공격 스킬,스킬 테이블
,StartPassiveSkillID,시작 패시브 스킬 ID,string,SK_P_001,시작 패시브가 있으면 연결 (없으면 빈값),스킬 테이블
,WeaponTypeTag,선호 무기 타입 태그,Enum,Bow,무기/시너지 분류용 태그,
,CharacterTraitID,캐릭터 고유 특성 ID,string,TR_001,캐릭터 고유 패시브/특성 연결용,스킬 테이블
